comment,majority_vote_final,index,clean_comment
Can anyone recommend me the best suv over 5 -6years old. The looks good and mean outside and inside? Thanks,positive,239,anyone recommend best suv 5 6years old look good mean outside inside thanks
"I got a porsche because it’s the most nicest (calm) drive. I did a test drive on mercedes, lexus and porsche. Nothing came even close to how well it handled bumps on the road. Don’t need space, so I even got a coupe. It goes fast when it needs to, overtaking on motorway never felt safer. But it’s objectively the most luxurious of the set, despite the common notion that it’s sporty. If I had more money to spend, I would look at Bentley, and if I had less I would 100% go for RX. It’s just insane good value.",positive,240,get porsche nice calm drive test drive mercedes lexus porsche nothing come even close well handle bump road not need space even get coupe go fast needs overtake motorway never felt safer but objectively luxurious set despite common notion sporty more money spend would look bentley less would 100 go rx insane good value
I ve got the winner - seems to be a right choice :),positive,241,get winner seem right choice
wheres volvo xc90,neutral,242,volvo xc90
BMW��,neutral,243,bmw
"Why is the the Cayenne the best? 
Because it's a Porsche ofc �",positive,244,cayenne best porsche course
BMW once again destroys the competition. Their engineering is second to none!!!,neutral,245,bmw destroy competition engineering second none
I have the GLE 350 de hybrid with the nappa leather option which makes it feel a bit more special….it can be recognised by the twin stitching and softer feel. It’s also a low BIK which matches the Porsche Hybrid!,positive,246,gle 350 de hybrid nappa leather option make feel bit more special recognised twin stitch soft feel also low bik match porsche hybrid
I wouldn’t be interested in any of theses cars. They all look boring as hell and over priced.,negative,247,would not interested thesis car look bore hell price
,neutral,248,nan
"Seriously what kind of job do you need to have to afford a ""normal"" car like these? 100g is ludacris",neutral,249,seriously kind job need afford normal car like 100g ludacris
"im planning to get the gle 450, is it worth it or should i go for the audi/bmw",neutral,250,plan get gle 450 worth go audi bmw
Mr Carwow i have new Touareg with soft close...so next time when you take to compare soft close buy soft close,neutral,251,mr carwow new touareg soft close next time take compare soft close buy soft close
Land Rover!,neutral,252,land rover
�,neutral,253,
VW R looks lit �,neutral,254,vw r look lit
I thought that Porsche is pronounced as a two-syllable word,neutral,255,think porsche pronounce two syllable word
Stone Age Cars for Caveman,neutral,256,stone age car caveman
It all comes down to the bmw vs merc,neutral,257,come bmw v merc
Range Rover could have been included,neutral,258,range rover could include
"None of those. The most comfortable premium SUV is XC90, unless you are a midget. I am 6 foot 220 pounds. I have tried 2024 versions of all of them. Merc and X5 used to be with great big comfy seats. Not anymore. All except the Volvo now have awfully small sporty seats with ginormous central consoles. Porsche is exactly the same as Touareg even worst then the Merc and BMW. Q8 is worst then Q7 space wise. Yes I was prepared to go full EV from pure desperation. Tried EQE and EQS, both are joke comfort wise. Finally I just bought XC90 it has the best ergonomic seats you can wish with plenty of space around.",negative,259,none comfortable premium suv xc90 unless midget 6 foot 220 pound tried 2024 version merc x5 use great big comfy seat not anymore except volvo awfully small sporty seat ginormous central console porsche exactly touareg even bad merc bmw q8 bad q7 space wise yes prepare go full ev pure desperation try eqe eq joke comfort wise finally buy xc90 best ergonomic seat wish plenty space around
q8 is the best overall and most beautifull in the class,positive,260,q8 best overall beautifull class
I love it,positive,261,love
Where is the Audi Q8. This is by far the best of all,positive,262,audi q8 far best
None of them are anywhere near the standard of the Range Rover,neutral,263,none anywhere near standard range rover
What happened too budget car brands making affordable cars,neutral,264,happen budget car brand make affordable car
"Why is he being biased towards the BMW, Mercedes is definitely the better one.",positive,265,bias towards bmw mercedes definitely better one
Volvo xc90,neutral,266,volvo xc90
What happened to a Land Rover product?,neutral,267,happen land rover product
No longevity tests. Take all these suv 5 years old and tell me which one lasted the longest with highest miles,neutral,268,no longevity test take suv 5 year old tell one last long high mile
It'd be nice to know the speeds as well as the times,positive,269,would nice know speed well time
You forgot to add a Japanese 4x4 to the mix.,neutral,270,forgot add japanese 4x4 mix
"I test drove x5 and Cayenne, and Cayenne is 2 heads above in driving feel, so much so I decided to buy Cayenne S on the spot. X5 is nowhere near as fun to throw into corners. Cayenne makes me smile every time I drive it. And I owned the f15 30D x5 couple years ago.",positive,271,test drive x5 cayenne cayenne 2 head drive feel much decide buy cayenne spot x5 nowhere near fun throw corner cayenne make smile every time drive own f15 30d x5 couple year ago
Everytime wins BMW X5 lol,positive,272,everytime win bmw x5 lol
Lol i really enjoyed this review. Love the presenter's charisma. ,positive,273,lol really enjoy review love presenter charisma
"Matt referring to the ethos of Volkswagen as being ""Car of the people"" is brutal!",neutral,274,matt refer ethos volkswagen car people brutal
Bmw all the way ��,neutral,275,bmw way
"25:26 ""...Ice white socks with navy blue double cadet stripe..."" who's this cool customer?�",positive,276,25 26 ice white sock navy blue double cadet stripe cool customer
BMW easily,positive,277,bmw easily
3 vw’s vs 1 mercedes vs 1 mini cooper,neutral,278,3 vw v 1 mercedes vs 1 mini cooper
Why didn’t you look at the Q8 tho?,neutral,279,not look q8 though
Apples to oranges.  Terrible attempt to compare vehicles.  One’s a hybrid.  Another’s diesel.  Yet another is gas powered.  This is just ridiculous,negative,280,apple orange terrible attempt compare vehicle one hybrid another diesel yet another gas power ridiculous
whats up with volvos matt??? how can you not have a volvo in there???,neutral,281,volvos matt not volvo
New cars are expensive. I would have to work for 4 years to afford some of these,negative,282,new car expensive would work 4 year afford
1 bmw and 1 mercedes vs 3 Volkswagens �,neutral,283,1 bmw 1 mercedes vs 3 volkswagens
There should be Lexus RX also in the comparison. It's better compared to all of the above.,positive,284,lexus rx also comparison good compare
"I know it might sound a bit silly, but I have to say, the top trim interior of the Mazda CX-90 looks way better than all the others. Just my opinion!",positive,285,know might sound bit silly but say top trim interior mazda cx 90 look way well others opinion
Jackson Angela Smith Michelle Lee David,neutral,286,jackson angela smith michelle lee david
Porsche for me ❤,neutral,287,porsche
wish I could have seen matt wanking it before it disappeared,neutral,288,wish could see matt wanking disappear
"Car prices as tested:
Porsche 101,865 GBP
BMW 93,745 GBP
GLE 91,695 GBP
AUDI 83,525 GBP
VW 89,206 GBP",neutral,289,car price test porsche 101 865 gbp bmw 93 745 gbp gle 91 695 gbp audi 83 525 gbp vw 89 206 gbp
So it is BMW vs Volkswagen vs  Mercedes vs Volkswagen vs Volkswagen,neutral,290,bmw v volkswagen v mercedes vs volkswagen v volkswagen
No XC90?,neutral,291,no xc90
My 2008 SL can beat the bmw.,neutral,292,2008 sl beat bmw
"Mercedes is on the Austin Martin,,,",neutral,293,mercedes austin martin
"Still canot understand how a 1995 7's series bmw can still do better than a hight end suv bmw from today � . Better marerials, better and more understandable lay out, more interesting engines, better designed and better options as ashtrays.",positive,294,still canot understand 1995 7 series bmw still well hight end suv bmw today well marerials well more understandable lay more interesting engine well design well option ashtray
Niceeee more VW,positive,295,niceeee more vw
The best SUV is those you can allow yourself without feeling a financial discomfort ... the brand is just a matter of taste.,positive,296,best suv allow without feel financial discomfort brand matter taste
Out of all the cars I’ve owned the Q7 is my favorite.,positive,297,car own q7 favorite
What happened with ML it used to be rival with X5...,neutral,298,happen ml use rival x5
Vw vs bmw basically,neutral,299,vw v bmw basically
"I know I know, Porsche is Porsche, Mercedes is classy, BMW is a pleasure to drive...all fantastic cars...but in terms of pure practicality absolutely nothing beats the Touareg. 
This is just a car that gets the job done. Any job. Or almost any. It is so easy to live with, it is unreal.",positive,300,know know porsche porsche mercedes classy bmw pleasure drive fantastic car but term pure practicality absolutely nothing beat touareg car get job do job almost easy live unreal
Bmws will always remain superior fs�,positive,301,bmws always remain superior f
My touareg does have a soft closing does tho why does this one no have it ?,neutral,302,touareg soft closing though one no
Lexus ftw,neutral,303,lexus ftw
"ohhh...is this the german ""car channel"".....interesting...cheers from.....germany.
btw...i don't drive a german car.",neutral,304,ohhh german car channel interest cheer germany way not drive german car
"$90K for a VW... bwahahahahahahahahahahahahahahahahaha!!! 

Uh, no.",neutral,305,90k vw bwahahahahahahahahahahahahahahahahaha uh no
"All of them suck. Bad cars, bad design.",negative,306,suck bad car bad design
Only german cars,neutral,307,german car
Scrotum leather ���������,neutral,308,scrotum leather
5:56 come on mercedes,neutral,309,5 56 come mercedes
They're all unreliable sh*te....,neutral,310,unreliable sh te
"All time you advertize
Bmw win

You must also mention
That mercedes will last 2 times longer than that Bmw
And will cost les money  during the lifetime to keep on parts and shit",positive,311,time advertize bmw win must also mention mercedes last 2 time longer bmw cost le money lifetime keep part shit
All German...who won the bloody wars...we definitely didnt...we make eff all now.,neutral,312,german bloody war definitely not make eff
I like this guy. You feel that he loves his job.  It's funny,positive,313,like guy feel love job funny
The back seats in the Mercedes go back up because they felt resistance because you didn't put the headrests down.,neutral,314,back seat mercedes go back felt resistance not put headrest
"The 3 sead is for children, not for old people �",neutral,315,3 sead child not old people
Matt picked a bmw. Surprised... Not,neutral,316,matt pick bmw surprise not
Money is the Best,positive,317,money best
"7:01 what's also wrong in this car is the steering wheel , it's on the wrong side  :)))",neutral,318,7 01 also wrong car steer wheel wrong side
The Toureg use to be beautiful inside…NOW IT SUCKS!!  So bland and no more of that beautiful open pore wood � or polished walnut,negative,319,toureg use beautiful inside suck bland no more beautiful open pore wood polish walnut
"Wtf 90k on the touareg, just get the Audi instead",negative,320,wtf 90k touareg get audi instead
I love audi,positive,321,love audi
Yehh x5 is the best,positive,322,yehh x5 best
The Q7 having some 200 horsepower less than the Tuareg is the biggest crime here. Followed close by the Porsche having too few horsepower more than the aforementioned VW.,neutral,323,q7 200 horsepower less tuareg big crime follow close porsche horsepower more aforementioned vw
our bow x5 xdrive  has soft close,neutral,324,bow x5 xdrive soft close
Omg this aura from the mercedes,neutral,325,omg aura mercedes
BMW allways be better�,positive,326,bmw allways well
I'm saying Porsche and Mercedes,neutral,327,say porsche mercedes
"Audi best overall, yet wins the Bronze medal?  You’d be an excellent Olympic judge……I only care because I have one and it’s really good.",positive,328,audi best overall yet win bronze medal would excellent olympic judge care one really good
AUDI AUDI AUDI ALL DAY BABYY,neutral,329,audi audi audi day babyy
Is genesis gv 80 or 90 not better than any of them?,neutral,330,genesis gv 80 90 not well
The Tuareg has Softklose!!!,neutral,331,tuareg softklose
"The prices are crazy. But i think its a stupid idea to buy such a car new for 100k. After 3 years its worth 50k-55k and you lose more than 45k. Go and buy it after 2, 3 or 4 years. A car is a item of Use. Its not a Rolex.",neutral,332,price crazy but think stupid idea buy car new 100k 3 year worth 50k 55k lose more 45k go buy 2 3 4 year car item use not rolex
Where`s the Volvo XC90?,neutral,333,volvo xc90
Lexus RX,neutral,334,lexus rx
I already wanted that,neutral,335,already want
Who pays him the most get the win lol. And we all know BMW loves to pay because theyll get it back anyway when your car breaks down lol,positive,336,pay get win lol know bmw love pay get back anyway car break lol
The Q7 is the best SUV!,positive,337,q7 best suv
And de Tesla  X or Y  in compare why not?,neutral,338,de tesla x compare not
Where is Range Rover Sport?,neutral,339,range rover sport
Where is the Volvo PHEV??,neutral,340,volvo phev
The jokes I love it!!!!!!,positive,341,joke love
"Back doors quality... Thats what differs CarWoW to the rest.
Congratulations for the content as always!",positive,342,back door quality differs carwow rest congratulation content always
"Come on Matt, you need to consider using the rear view mirrors, loool, you are driving forward but your face is looking at the back",neutral,343,come matt need consider use rear view mirror loool drive forward but face look back
K,neutral,344,k
Mercedes GLE 450d is my favourite and best looking in my opinion,positive,345,mercedes gle 450d favourite best look opinion
"Hahaha, pathetic. BMW saved GB car industry, what theatric show presented here.",negative,346,hahaha pathetic bmw save gb car industry theatric show present
German cars on top,positive,347,german car top
The looks of the BMW IS BEAST AGRESSIVE LOOKING OUT OF ALL THE CAR CONSDERING THE PRICE ITA THE BEST,positive,348,look bmw beast agressive look car consdering price ita best
"I love the way Q7 looks, my favorite SUV here, even if I'm a Mercedes fan!",positive,349,love way q7 look favorite suv even mercedes fan
"I bought a new Q7 a year ago and love it. Hated my test drive in the GLE. No comparison. 
I’m surprised there’s no Volvo XC90 here TBH. Surely a contender despite its 4 pot engine.",neutral,350,buy new q7 year ago love hat test drive gle no comparison surprise no volvo xc90 honest surely contender despite 4 pot engine
8:00 Classic Matt,neutral,351,8 00 classic matt
No roof rails on a 100k Cayene is criminal,negative,352,no roof rail 100k cayene criminal
Mercedes what a beauty but is it washed with sand??,neutral,353,mercedes beauty but wash sand
next time please genesis gv80,neutral,354,next time please genesis gv80
It’s not fair to compare Porsche and Audi to Vw as they’re all Vws �,neutral,355,not fair compare porsche audi vw vws
Toyota,neutral,356,toyota
Non of them will last 10 years. X5 and GLE will go out in 5 probably a bit more.,neutral,357,non last 10 year x5 gle go 5 probably bit more
That's why I will buy X4 instead of GLC,neutral,358,buy x4 instead glc
No Volvo?,neutral,359,no volvo
"Funny how people who can't afford any of these complain about the price of the Touareg, an amazing car.",positive,360,funny people not afford complain price touareg amazing car
Having the mean looking BMW close up on me in the rear mirror would be the only time i would move out of the way instead of speeing up. Its psychologically intimidating. I love it!,positive,361,mean look bmw close rear mirror would time would move way instead speeing psychologically intimidate love
These cars are getting too damn expensive,negative,362,car get damn expensive
"Ok con su veredicto, pero déjenme el PORSCHE❤",positive,363,ok con su veredicto pero déjenme el porsche
Real name vw vs Mercedes vs bmw,neutral,364,real name vw v mercedes vs bmw
Unfortunately all of those SUVs have too many problems for the price. As family car I would not recommend . Better get a Japanese SUV.,positive,365,unfortunately suvs many problem price family car would not recommend good get japanese suv
Waiting for drag race,neutral,366,wait drag race
Do starter SUV like gla or x1,neutral,367,starter suv like gla x1
we want to see megél more times 11:30 look at that beard,positive,368,want see megél more time 11 30 look beard
BMWWWWWWWW,neutral,369,bmwwwwwwww
Porsche wins,positive,370,porsche win
"MFers at VW want 90k for a tuareg??✋��..... It is supposed to be the ""PEOPLE'S CAR"" right?",neutral,371,mfers vw want 90k tuareg suppose people car right
"I owned a Q8 and did a similar evaluation in Q1.
The new Q8 is basically the same as the old. Same with the Q7.
The Touareg is OK but to expensive for what it is.
The Cayenne was also very expensive and not the best car to buy in my line of work. I also wanted a diesel.

The GLE and X5 remained.
After testing both, the X5 turned out to be the best luxury SUV on the market (for my budget at least).",positive,372,own q8 similar evaluation q1 new q8 basically old q7 touareg ok but expensive cayenne also very expensive not best car buy line work also want diesel gle x5 remain test x5 turn best luxury suv market budget least
"Мерседес�
Бмв�
Порше�
Фольксваген ��
Ауди�",neutral,373,мерседес бмв порше фольксваген ауди
Bro its bmw vs mercedes vs porsche vs porsche cheap vs porsche mid,neutral,374,bro bmw v mercedes vs porsche v porsche cheap v porsche mid
5:58 this had me dying,neutral,375,5 58 dying
Isnt bmw the newest tho?,neutral,376,not bmw new though
"The VW costing more than an Audi is the height of it, but this Touareg design is extremely Beautiful, VW could invest in better finishes than the competition, after all the values are extreme",positive,377,vw cost more audi height but touareg design extremely beautiful vw could invest good finish competition value extreme
"Where is the Range Rover Sport, or any Land Rover for that matter??",neutral,378,range rover sport land rover matter
We got a 2024 Q7 55 tfsi gas Premium Plus and love it!,positive,379,get 2024 q7 55 tfsi gas premium plus love
"You’ll own nothing and be happy. 
These cars have become stupid expensive and the quality is not good. 
They are meant to be leased, not bought. 
No one, but the richest, will own a car",negative,380,nothing happy car become stupid expensive quality not good meant lease not buy no one but rich car
I prefer the Mercedes gle❤,neutral,381,prefer mercedes gle
Not good video,negative,382,not good video
ive bought cheaper houses than this ugly bunch of over-sized monstrosities,negative,383,buy cheap house ugly bunch size monstrosity
Litterally 3 of the cars are owned by vw group���,neutral,384,litterally 3 car own vw group
"Hmm. Shoud test VW diesel. Price with full, full pack 77k Eur. All other tested with same options more than 100k + very expensive insurance and everyone is stealing parts from them. So winner is. VW not others. But I prefer KIA Sorento 2024 diesel it’s best price value performance �",positive,385,hmm shoud test vw diesel price full full pack 77k eur test option more 100k very expensive insurance everyone steal part winner vw not others but prefer kia sorento 2024 diesel best price value performance
5:53 ��,neutral,386,5 53
The Mercedes and Volkswagen is the best for me ❤,positive,387,mercedes volkswagen best
Should really have Volvos in these comparisons too,neutral,388,really volvos comparison
why can none of them manage to fold down seats properly lol,neutral,389,none manage fold seat properly lol
BMW �,neutral,390,bmw
absolute euro junk...avoid like plaque!,neutral,391,absolute euro junk avoid like plaque
BMW,neutral,392,bmw
Do tiguan vs audi q3 vs mercedes gla vs bmw x3 please,neutral,393,tiguan v audi q3 v mercedes gla vs bmw x3 please
Only AUDİ ⭕️⭕️⭕️⭕️ quattro ����,neutral,394,audi̇ quattro
"I would personally like to see Volvos, Toyotas, Lexuses, ...",neutral,395,would personally like see volvos toyota lexuses
The audi q7 is the best if it has petrol ingine with lots of power and more luxury interior,positive,396,audi q7 best petrol ingine lot power more luxury interior
Remove audi & vw ...they are lower level ...,neutral,397,remove audi vw low level
Porsche,neutral,398,porsche
!!!,neutral,399,
VW Cayenne vs VW Q7 vs VW Touareg vs BMW X5 vs Mercedes GLE ��,neutral,400,vw cayenne v vw q7 v vw touareg v bmw x5 v mercedes gle
Running out of ideas Mat?,negative,401,run idea mat
Porsche anyday,positive,402,porsche anyday
Touareg vs Touareg-luxury vs Touareg-sport vs gle vs x5,neutral,403,touareg v touareg luxury v touareg sport v gle v x5
"Can you please do a video on the SQ8, SQ7, SQ6 e-tron, SQ5 and RSQ3?",neutral,404,please video sq8 sq7 sq6 e tron sq5 rsq3
Conclusion: Evs and hybrids are pos. Get the good ol diesel,positive,405,conclusion ev hybrid pos get good old diesel
Way lexus not hier,neutral,406,way lexus not hier
So the Porsche has borrowed Prius gear selector �,neutral,407,porsche borrow prius gear selector
I think the older generation of these cars have much better Interiors especially the Porsche,positive,408,think old generation car much well interior especially porsche
Gle looks amazing wow. Hoping the new face lift doesnt ruin it,positive,409,gle look amazing wow hop new face lift not ruin
"slamming doors, how 1990s.. these cars.. should all have soft close.",neutral,410,slam door 1990s car soft close
"........................... ALL are Euro Headaches!!!....... & will DEPRECIATE.....YEP you will LOOSE 50 to 60K of REAL money in 2 to three years..on these dogs!..Wake up!
Get a LEXUS and Sleep restfully not worrying if you will make it to that Hospital Emergency!......    Remember the #1 Luxury is  ""   DEPENDABILITY  ""!!!!",negative,411,euro headache depreciate yep loose 50 60k real money 2 three year dog wake get lexus sleep restfully not worry make hospital emergency remember 1 luxury dependability
"Thought I was the only one who liked the sound of closing new car doors, i dont own any new car by the way�",positive,412,think one like sound close new car door not new car way
Porsche is the only vehicle with a decent amount of horsepower.,neutral,413,porsche vehicle decent amount horsepower
Merc is ugly exterior,negative,414,merc ugly exterior
Volvo!,neutral,415,volvo
Where’s the range,neutral,416,range
"Hey, I would love to see you reviewing Indian Cars, specifically VW Virtus. @carwow",positive,417,hey would love see review indian car specifically vw virtu carwow
How about Lexus?,neutral,418,lexus
Why tf is a VW here? LMAO,negative,419,tf vw lmao
Porsche audi vw ？ no    vw vw vw yes�,neutral,420,porsche audi vw no vw vw vw yes
Who's got 80/90k to flush down the toilet on a box with four wheels??????? Does nobody understand that in five years time it will be a sub 25k mistake and that's only if its got less than 50k miles on the clock!!! Sorry screen if it still works.,negative,421,get 80 90k flush toilet box four wheel nobody understand five year time sub 25k mistake get less 50k mile clock sorry screen still work
I'll take a Li Auto L9 :),positive,422,take li auto l9
https://youtu.be/85B_u0-0Qpc?si=w0fSexKLPDz_8GLy,neutral,423,
"Did you seriously just say the Mercedes looked the best and with all the chrome trim??? Or were you shopping for your Mum, Matt? Gr. Mum??",positive,424,seriously say mercedes look best chrome trim shopping mum matt gr mum
They really live up to their name of being the ultimate driving machine,positive,425,really live name ultimate driving machine
We need carwow in the US please!!,neutral,426,need carwow u please
"Toureg  USA!!! I bought a Phaeton when they first came out, do you think they would send one to me ?",positive,427,toureg usa buy phaeton first come think would send one
"You should have taken SQ7, not the slowest Q7 of all.",neutral,428,take sq7 not slow q7
should have included a volvo ex90,neutral,429,include volvo ex90
Where is the Lexus RX 500h?,neutral,430,lexus rx 500h
X5 is truly a great piece of engineering.,positive,431,x5 truly great piece engineering
Matt has been a BMW fan long time ago I'm not suprised he chose X5 while Audi Q7 was the best,negative,432,matt bmw fan long time ago not suprised chose x5 audi q7 best
Hayatım boyunca Süremeyeceğim ve alamayacağım araçları izlemek eziyet gibi geliyor,neutral,433,hayatım boyunca süremeyeceği alamayacağım araçları izlemek eziyet gibi geliyor
I don’t know why the VW and Audi are here. They aren’t luxury brands.,negative,434,not know vw audi not luxury brand
Honda or Toyota are way more reliable and cheaper.,positive,435,honda toyota way more reliable cheaper
bro likes the bmw more so he put it before the audi q7. like wtf,neutral,436,bro like bmw more put audi q7 like wtf
Drag race the techart Porsche !,neutral,437,drag race techart porsche
24:25 for the drag race,neutral,438,24 25 drag race
Now do the GLE53 AMG hybrid�,neutral,439,gle53 amg hybrid
Should’ve added the GV80,neutral,440,add gv80
You forgot the Range Rover Sport,neutral,441,forgot range rover sport
£89k for a v-dub......hilarious,negative,442,89k v dub hilarious
The tesla plaid being absent says a lot about the results�,neutral,443,tesla plaid absent say lot result
buy sq7,neutral,444,buy sq7
911k views,neutral,445,911k view
Couldn’t care less about SUVs,negative,446,could not care less suvs
Mercedes Benz,neutral,447,mercedes benz
Mercedes ❤,neutral,448,mercedes
"Is it just me, or does the leather on the Mercedes look kind of nasty. The grain looks unnaturally large.",negative,449,leather mercedes look kind nasty grain look unnaturally large
"so the Audi won, sweet",positive,450,audi sweet
Porsche�,neutral,451,porsche
The back door Aeeeee�,neutral,452,back door aeeeee
90k for a W���,neutral,453,90k w
Correct verdict �,positive,454,correct verdict
"He doesn't want to admit that mercedes won the race , he even want the fastest version of the bmw �  should have used the fatest version �� always complaining",negative,455,not want admit mercedes race even want fast version bmw use fat version always complain
Matt is always lying though ��,neutral,456,matt always lie though
Why I had a feeling bmw will win?,positive,457,feel bmw win
niuce,positive,458,niuce
Born e Soweto Bara...i won't be surprised  she thinks  Bara is in Small street.,neutral,459,bear e soweto bara not surprised think bara small street
3 VWs vs BMW vs Mercedes ��,neutral,460,3 vws v bmw v mercedes
Even before I watched it I knew bmw will win it �,positive,461,even watch know bmw win
Matts spot on about Merc interior and cheap leather! Owned one and done my head in,negative,462,matt spot merc interior cheap leather own one do head
Better off with a 10 year old SUV and buying new parts and a service,positive,463,well 10 year old suv buy new part service
"All of these are not good, get a Tesla",negative,464,not good get tesla
BMW always wins these comparisons because its awlays the BESTTTT,positive,465,bmw always win comparison awlays bestttt
Yaa we know you Re audi liker.. so stop momping ����,negative,466,yaa know audi liker stop momping
Would rather have a Alfa Romeo stelvio ❤,positive,467,would rather alfa romeo stelvio
Gimme audi all day,positive,468,give audi day
Shouldn’t the Audi in this comparison/segment be the Q5?,neutral,469,not audi comparison segment q5
i see 3 vws tho,neutral,470,see 3 vws though
New speed limiters in Europe and the UK are switchable by the driver. But limiter is turned on each time the car is turned on.,neutral,471,new speed limiter europe uk switchable driver but limiter turn time car turn
"“The luxury test”, this is too funny ��",positive,472,luxury test funny
“Have the made them out of strotums” ���,neutral,473,make strotums
In the end which car is the best?? Answer- The German one,positive,474,end car best answer german one
"23:54 ""And now the Mercedes is cumming"" Say what? LOL",positive,475,23 54 mercedes cumming say lol
WV Audi and Porsche has the same coolant tank in the same place :D,neutral,476,wv audi porsche coolant tank place
"This test proves that the only Porsche that is worth the price and has much better attributes is the 911... the other Porsches cannot have as good a price/quality ratio as Audi, BMW and Mercedes...",positive,477,test prove porsche worth price much good attribute 911 porsches not good price quality ratio audi bmw mercedes
I’ll keep my Volvo XC90,positive,478,keep volvo xc90
I know that BMW will be the winner before I see this video,positive,479,know bmw winner see video
Since when VW is a luxury SUV?,neutral,480,since vw luxury suv
Probably should've done the Lexus too,neutral,481,probably do lexus
Finally i got all cars that im intrested in one video. Thank you Matt,positive,482,finally get car intrested one video thank matt
All these cars lighter than the new M5…,neutral,483,car lighter new m5
"Vw, Audi los mejores",neutral,484,vw audi los mejores
How did it happen that Audi is cheaper than Volkswagen in the base?,negative,485,happen audi cheap volkswagen base
"should atleast compare similiar engines so its a like for like, ones petrol, ones hybrid, ones a lower power diesel whilst the other is a model above, either put all basic, mid range or top spec to give a more accurate  like for like",positive,486,atleast compare similiar engine like like one petrol one hybrid one low power diesel whilst model either put basic mid range top spec give more accurate like like
Has to be the bmtroubleyou doesn't it,neutral,487,bmtroubleyou not
@carwow: The X5 can be optioned with electrically slidable and reclining rear-seats. It’s included when you spec it as a 7-seater.,neutral,488,carwow x5 optioned electrically slidable recline rear seat include spec 7 seater
"That video would've made sense if all the cars had the same engine. Mindblowing, right?",negative,489,video would make sense car engine mindblowing right
That Volkswagen looks so sick ��,positive,490,volkswagen look sick
Sq7,neutral,491,sq7
Get the x5m,neutral,492,get x5m
"Why bother reviewing other car brands . Every test M Watson does he chose bmw  as the best 
He must be sponsored by them … its  so predictable",negative,493,bother review car brand every test watson choose bmw best must sponsor predictable
I don't see the best SUV there,positive,494,not see best suv
I can’t help watching this and thinking “look at all these electronic trinkets just waiting to malfunction”.,neutral,495,not help watch think look electronic trinket wait malfunction
Really you are only comparing 3 different cars,neutral,496,really compare 3 different car
So many comments about the Touareg price but nobody is acknowledging that it was the 2nd fastest suv here. May be my bias as an owner of one but I choose vw �,positive,497,many comment touareg price but nobody acknowledge 2nd fast suv may bias owner one but choose vw
"Audi would be my choice of car. Practical, comfortable and well built.
Second, be the VW. Then the Porsche.
I don't see myself having the Merc nor the BMW.",positive,498,audi would choice car practical comfortable well build second vw porsche not see merc bmw
Grabbing the aliens head lol,positive,499,grab alien head lol
What a ridiculous conclusion.�,negative,500,ridiculous conclusion
"Not one of them is on top, Toyota, and Lexus are the best",positive,501,not one top toyota lexus best
If you're going to review Porsche maybe you should learn how to say it correctly It's A Man's last name for God's sake,neutral,502,go review porsche maybe learn say correctly man last name god sake
"All to expensive for what,  and what is the 5 year repair Forcast, and average cost of repair for each car,,,these are sucker mobiles or for non car people who just buy a car for 2 three years and change up,,,no my style to supply billionairs with more money",negative,503,expensive 5 year repair forcast average cost repair car sucker mobiles non car people buy car 2 three year change no style supply billionairs more money
have they made it from ball sacks,neutral,504,make ball sack
That GLE has already had a scratch and shine wash,neutral,505,gle already scratch shine wash
"Mercedes interior quality is really hitting rock bottom, aren't they?",negative,506,mercedes interior quality really hit rock bottom not
Q7 �,neutral,507,q7
"Why should any of this surprise anyone? All three (VW, Porsche, Audi) are literally the same car, even the Bentley and Lamborghini suvs are off the same platform. The Benz is gaudy with crappy interior and the BMW is as always the best driver for the money. BMW is at the top of their game with best quality interior also..plus it is made in the USA!",positive,508,surprise anyone three vw porsche audi literally car even bentley lamborghini suv platform benz gaudy crappy interior bmw always best driver money bmw top game best quality interior also plus make usa
"Vw is the best second is Porsche and third is bmw and the Q7 is crap because it's too plastic and every Audi is the same inside, and the Mercedes has fake exhausts and plastic inside, do I need to list more?",positive,509,vw best second porsche third bmw q7 crap plastic every audi inside mercedes fake exhaust plastic inside need list more
touareg is better get it used not new� 100k for a touareg is crazy,negative,510,touareg well get use not new 100k touareg crazy
missing RX and XC90,neutral,511,miss rx xc90
Who buys smoking oil burners these days?!?,neutral,512,buy smoke oil burner day
"Landrover Discovery?
Rangerover Sport?",neutral,513,landrover discovery rangerover sport
Thank you matt Watson for being onest about the bmw.   I will choose that bima all day long,positive,514,thank matt watson on bmw choose bima day long
I will take the bima all day long ���,positive,515,take bima day long
The answer is easy…. None of them is best (for the road) because they are agricultural vehicles.,negative,516,answer easy none best road agricultural vehicle
100k for a family wagon? Perhaps I'm old but the world has gone mad!,negative,517,100k family wagon perhaps old but world go mad
We all know someone who says : well i have testet the bmw but wait until you try the Mercedes,neutral,518,know someone say well testet bmw but wait try mercedes
think the bmw  won the ugly test,negative,519,think bmw ugly test
To me based on your video its an easy win to Mercedes!,positive,520,base video easy win mercedes
The German SUV wins ....,positive,521,german suv win
I'm very happy with my 396ps 800nm Alpina XD4.Has to be the best diesel engine available,positive,522,very happy 396ps 800nm alpina xd4 best diesel engine available
Volvo not big in the UK?,neutral,523,volvo not big uk
Who on EARTH IS PAYING £90K for a V6 VW SUV?,negative,524,earth pay 90k v6 vw suv
"Not the M BMW , so sorry, not interested…",negative,525,not bmw sorry not interested
