comment,majority_vote_final,index,clean_comment,bing_liu_label,sentiwordnet_label
"Bmw won again lol, bmw is on steroid. Winning everytime against competition. I wish i had bought a bmw instead of a GLC 220d. �",positive,201,bmw lol bmw steroid win everytime competition wish buy bmw instead glc 220d,Positive,Positive
"None of them it is worth the money,honestly.
With price starting 60k without options. �",neutral,202,none worth money honestly price start 60k without option,Negative,Positive
lütfen türkçe seslendirme ekler misiniz ya da gerçek çeviri.,neutral,203,lütfen türkçe seslendirme ekler misiniz ya da gerçek çeviri,Neutral,Neutral
Where’s the Volvo XC90?,neutral,204,volvo xc90,Neutral,Neutral
Of course BMW X5 is winner!,positive,205,course bmw x5 winner,Positive,Neutral
"Why are you not comparing apples to apples? Hybrids, diesel and gas??",neutral,206,not compare apple apple hybrid diesel gas,Neutral,Negative
The benz mn,neutral,207,benz mn,Neutral,Neutral
What is with this guy and bmw do they bribe him�,neutral,208,guy bmw bribe,Neutral,Neutral
Audi is by far the better of the bunch.,positive,209,audi far well bunch,Positive,Positive
Only the best Mercedes Benz,positive,210,best mercedes benz,Positive,Positive
If you could add Lexus RX to the mix that would be great :D,positive,211,could add lexus rx mix would great,Positive,Neutral
❤Q7 It’s the o ❤,neutral,212,q7,Neutral,Neutral
Gle❤�,neutral,213,gle,Neutral,Neutral
Matt's hate for Mercedes and lo e for BMW sometimes clouds his reviews,negative,214,matt hate mercedes lo e bmw sometimes clouds review,Negative,Negative
But Touareg had soft close I have a Touareg and I have soft close,neutral,215,but touareg soft close touareg soft close,Positive,Negative
"At the end of the day, I can live with the Audi diesel and the overall comfort package.",neutral,216,end day live audi diesel overall comfort package,Positive,Negative
VW looks the best and MB,positive,217,vw look best mb,Positive,Positive
Guys in Europe: its not that those cars got so expensive. Europe is just getting poor. Its too small of a market for producers to care and all other regions of the world are keeping up salary-wise with those prices in their currencies. Brutal truth,negative,218,guy europe not car get expensive europe get poor small market producer care region world keep salary wise price currency brutal truth,Negative,Negative
"La mayoría son de Alemania 

Traduction:

The major are of Germany",neutral,219,la mayoría son de alemania traduction major germany,Neutral,Positive
"Great video Carwow. Thank you � 
BMW X5 always wins.",positive,220,great video carwow thank bmw x5 always win,Positive,Positive
Porche cayenne direct,neutral,221,porche cayenne direct,Neutral,Negative
Land Cruiser ❤️ Prado ❤️,neutral,222,land cruiser prado,Neutral,Neutral
"I'm disappointed in you Matt!  How can you honestly expect us to believe you review the Audi, BMW, or MBZ  better then the Porsche after admitting you own the Porsche?  Bad form!",negative,223,disappointed matt honestly expect u believe review audi bmw mbz well porsche admit porsche bad form,Negative,Negative
"Only Benz is the original all others are imitations. Respect for the genius Karl Benz and Bertha Benz, the real name of that car shuld be KBB (Karl Bertha Benz).",neutral,224,benz original others imitation respect genius karl benz bertha benz real name car shuld kbb karl bertha benz,Positive,Positive
These manufacturers have destroyed their own businesses with overly complicated cars that are hard to repair and last only a few of years on the road compared to older models.....why waste your money on any of these.....,neutral,225,manufacturer destroy business overly complicate car hard repair last year road compare old model waste money,Negative,Negative
"Best in what..? From the maintenance stand point of view, Porsche is the worst.",neutral,226,best maintenance stand point view porsche worst,Neutral,Positive
My parents have a BMW X7 2023. I love BMW.,positive,227,parent bmw x7 2023 love bmw,Positive,Positive
"Well none of them are winning any beauty contests, that’s for sure �",positive,228,well none win beauty contest sure,Positive,Positive
+1 if Matt is the best car reviewer!!,positive,229,1 matt best car reviewer,Positive,Positive
"You have to be more objective against Mercedes. We now you are bmw guy but if you compare the cars you have to pit your bmw love aside, sir. But putting all aside you are doing great job, love your videos ❤",positive,230,more objective mercedes bmw guy but compare car pit bmw love aside sir but put aside great job love video,Positive,Positive
Volvo�,neutral,231,volvo,Neutral,Neutral
Tf they comparing a Volkswagen ���,neutral,232,tf compare volkswagen,Neutral,Positive
3 of these cars share the same chassis,neutral,233,3 car share chassis,Neutral,Neutral
Why the D:/,neutral,234,,Neutral,Neutral
"Chinese cars are better than all of them. More features, more reliable, and cheaper to buy and maintain.",positive,235,chinese car well more feature more reliable cheap buy maintain,Positive,Positive
They're all absolute rubbish compared with a saloon though.,negative,236,absolute rubbish compare saloon though,Negative,Positive
This is by far the most confusing car videos I’ve ever seen,neutral,237,far confuse car video ever see,Negative,Neutral
Porsche et mercedes best,positive,238,porsche et mercedes best,Positive,Positive
Can anyone recommend me the best suv over 5 -6years old. The looks good and mean outside and inside? Thanks,positive,239,anyone recommend best suv 5 6years old look good mean outside inside thanks,Positive,Positive
"I got a porsche because it’s the most nicest (calm) drive. I did a test drive on mercedes, lexus and porsche. Nothing came even close to how well it handled bumps on the road. Don’t need space, so I even got a coupe. It goes fast when it needs to, overtaking on motorway never felt safer. But it’s objectively the most luxurious of the set, despite the common notion that it’s sporty. If I had more money to spend, I would look at Bentley, and if I had less I would 100% go for RX. It’s just insane good value.",positive,240,get porsche nice calm drive test drive mercedes lexus porsche nothing come even close well handle bump road not need space even get coupe go fast needs overtake motorway never felt safer but objectively luxurious set despite common notion sporty more money spend would look bentley less would 100 go rx insane good value,Positive,Positive
I ve got the winner - seems to be a right choice :),positive,241,get winner seem right choice,Positive,Positive
wheres volvo xc90,neutral,242,volvo xc90,Neutral,Neutral
BMW��,neutral,243,bmw,Neutral,Neutral
"Why is the the Cayenne the best? 
Because it's a Porsche ofc �",positive,244,cayenne best porsche course,Positive,Positive
BMW once again destroys the competition. Their engineering is second to none!!!,neutral,245,bmw destroy competition engineering second none,Negative,Neutral
I have the GLE 350 de hybrid with the nappa leather option which makes it feel a bit more special….it can be recognised by the twin stitching and softer feel. It’s also a low BIK which matches the Porsche Hybrid!,positive,246,gle 350 de hybrid nappa leather option make feel bit more special recognised twin stitch soft feel also low bik match porsche hybrid,Positive,Positive
I wouldn’t be interested in any of theses cars. They all look boring as hell and over priced.,negative,247,would not interested thesis car look bore hell price,Negative,Neutral
,neutral,248,,Neutral,Neutral
"Seriously what kind of job do you need to have to afford a ""normal"" car like these? 100g is ludacris",neutral,249,seriously kind job need afford normal car like 100g ludacris,Positive,Negative
"im planning to get the gle 450, is it worth it or should i go for the audi/bmw",neutral,250,plan get gle 450 worth go audi bmw,Positive,Positive
Mr Carwow i have new Touareg with soft close...so next time when you take to compare soft close buy soft close,neutral,251,mr carwow new touareg soft close next time take compare soft close buy soft close,Positive,Negative
Land Rover!,neutral,252,land rover,Neutral,Neutral
�,neutral,253,,Neutral,Neutral
VW R looks lit �,neutral,254,vw r look lit,Neutral,Neutral
I thought that Porsche is pronounced as a two-syllable word,neutral,255,think porsche pronounce two syllable word,Neutral,Neutral
Stone Age Cars for Caveman,neutral,256,stone age car caveman,Neutral,Neutral
It all comes down to the bmw vs merc,neutral,257,come bmw v merc,Neutral,Neutral
Range Rover could have been included,neutral,258,range rover could include,Neutral,Neutral
"None of those. The most comfortable premium SUV is XC90, unless you are a midget. I am 6 foot 220 pounds. I have tried 2024 versions of all of them. Merc and X5 used to be with great big comfy seats. Not anymore. All except the Volvo now have awfully small sporty seats with ginormous central consoles. Porsche is exactly the same as Touareg even worst then the Merc and BMW. Q8 is worst then Q7 space wise. Yes I was prepared to go full EV from pure desperation. Tried EQE and EQS, both are joke comfort wise. Finally I just bought XC90 it has the best ergonomic seats you can wish with plenty of space around.",negative,259,none comfortable premium suv xc90 unless midget 6 foot 220 pound tried 2024 version merc x5 use great big comfy seat not anymore except volvo awfully small sporty seat ginormous central console porsche exactly touareg even bad merc bmw q8 bad q7 space wise yes prepare go full ev pure desperation try eqe eq joke comfort wise finally buy xc90 best ergonomic seat wish plenty space around,Positive,Negative
q8 is the best overall and most beautifull in the class,positive,260,q8 best overall beautifull class,Positive,Positive
I love it,positive,261,love,Positive,Positive
Where is the Audi Q8. This is by far the best of all,positive,262,audi q8 far best,Positive,Positive
None of them are anywhere near the standard of the Range Rover,neutral,263,none anywhere near standard range rover,Neutral,Neutral
What happened too budget car brands making affordable cars,neutral,264,happen budget car brand make affordable car,Positive,Neutral
"Why is he being biased towards the BMW, Mercedes is definitely the better one.",positive,265,bias towards bmw mercedes definitely better one,Neutral,Positive
Volvo xc90,neutral,266,volvo xc90,Neutral,Neutral
What happened to a Land Rover product?,neutral,267,happen land rover product,Neutral,Neutral
No longevity tests. Take all these suv 5 years old and tell me which one lasted the longest with highest miles,neutral,268,no longevity test take suv 5 year old tell one last long high mile,Neutral,Positive
It'd be nice to know the speeds as well as the times,positive,269,would nice know speed well time,Positive,Positive
You forgot to add a Japanese 4x4 to the mix.,neutral,270,forgot add japanese 4x4 mix,Neutral,Neutral
"I test drove x5 and Cayenne, and Cayenne is 2 heads above in driving feel, so much so I decided to buy Cayenne S on the spot. X5 is nowhere near as fun to throw into corners. Cayenne makes me smile every time I drive it. And I owned the f15 30D x5 couple years ago.",positive,271,test drive x5 cayenne cayenne 2 head drive feel much decide buy cayenne spot x5 nowhere near fun throw corner cayenne make smile every time drive own f15 30d x5 couple year ago,Positive,Positive
Everytime wins BMW X5 lol,positive,272,everytime win bmw x5 lol,Positive,Neutral
Lol i really enjoyed this review. Love the presenter's charisma. ,positive,273,lol really enjoy review love presenter charisma,Positive,Positive
"Matt referring to the ethos of Volkswagen as being ""Car of the people"" is brutal!",neutral,274,matt refer ethos volkswagen car people brutal,Negative,Negative
Bmw all the way ��,neutral,275,bmw way,Neutral,Neutral
"25:26 ""...Ice white socks with navy blue double cadet stripe..."" who's this cool customer?�",positive,276,25 26 ice white sock navy blue double cadet stripe cool customer,Positive,Negative
BMW easily,positive,277,bmw easily,Neutral,Positive
3 vw’s vs 1 mercedes vs 1 mini cooper,neutral,278,3 vw v 1 mercedes vs 1 mini cooper,Neutral,Neutral
Why didn’t you look at the Q8 tho?,neutral,279,not look q8 though,Neutral,Negative
Apples to oranges.  Terrible attempt to compare vehicles.  One’s a hybrid.  Another’s diesel.  Yet another is gas powered.  This is just ridiculous,negative,280,apple orange terrible attempt compare vehicle one hybrid another diesel yet another gas power ridiculous,Negative,Negative
whats up with volvos matt??? how can you not have a volvo in there???,neutral,281,volvos matt not volvo,Neutral,Negative
New cars are expensive. I would have to work for 4 years to afford some of these,negative,282,new car expensive would work 4 year afford,Positive,Positive
1 bmw and 1 mercedes vs 3 Volkswagens �,neutral,283,1 bmw 1 mercedes vs 3 volkswagens,Neutral,Neutral
There should be Lexus RX also in the comparison. It's better compared to all of the above.,positive,284,lexus rx also comparison good compare,Positive,Positive
"I know it might sound a bit silly, but I have to say, the top trim interior of the Mazda CX-90 looks way better than all the others. Just my opinion!",positive,285,know might sound bit silly but say top trim interior mazda cx 90 look way well others opinion,Positive,Neutral
Jackson Angela Smith Michelle Lee David,neutral,286,jackson angela smith michelle lee david,Neutral,Neutral
Porsche for me ❤,neutral,287,porsche,Neutral,Neutral
wish I could have seen matt wanking it before it disappeared,neutral,288,wish could see matt wanking disappear,Neutral,Positive
"Car prices as tested:
Porsche 101,865 GBP
BMW 93,745 GBP
GLE 91,695 GBP
AUDI 83,525 GBP
VW 89,206 GBP",neutral,289,car price test porsche 101 865 gbp bmw 93 745 gbp gle 91 695 gbp audi 83 525 gbp vw 89 206 gbp,Neutral,Positive
So it is BMW vs Volkswagen vs  Mercedes vs Volkswagen vs Volkswagen,neutral,290,bmw v volkswagen v mercedes vs volkswagen v volkswagen,Neutral,Neutral
No XC90?,neutral,291,no xc90,Neutral,Neutral
My 2008 SL can beat the bmw.,neutral,292,2008 sl beat bmw,Neutral,Neutral
"Mercedes is on the Austin Martin,,,",neutral,293,mercedes austin martin,Neutral,Neutral
"Still canot understand how a 1995 7's series bmw can still do better than a hight end suv bmw from today � . Better marerials, better and more understandable lay out, more interesting engines, better designed and better options as ashtrays.",positive,294,still canot understand 1995 7 series bmw still well hight end suv bmw today well marerials well more understandable lay more interesting engine well design well option ashtray,Positive,Positive
Niceeee more VW,positive,295,niceeee more vw,Neutral,Neutral
The best SUV is those you can allow yourself without feeling a financial discomfort ... the brand is just a matter of taste.,positive,296,best suv allow without feel financial discomfort brand matter taste,Neutral,Positive
Out of all the cars I’ve owned the Q7 is my favorite.,positive,297,car own q7 favorite,Positive,Positive
What happened with ML it used to be rival with X5...,neutral,298,happen ml use rival x5,Negative,Neutral
Vw vs bmw basically,neutral,299,vw v bmw basically,Neutral,Positive
"I know I know, Porsche is Porsche, Mercedes is classy, BMW is a pleasure to drive...all fantastic cars...but in terms of pure practicality absolutely nothing beats the Touareg. 
This is just a car that gets the job done. Any job. Or almost any. It is so easy to live with, it is unreal.",positive,300,know know porsche porsche mercedes classy bmw pleasure drive fantastic car but term pure practicality absolutely nothing beat touareg car get job do job almost easy live unreal,Positive,Positive
Bmws will always remain superior fs�,positive,301,bmws always remain superior f,Positive,Positive
My touareg does have a soft closing does tho why does this one no have it ?,neutral,302,touareg soft closing though one no,Positive,Negative
Lexus ftw,neutral,303,lexus ftw,Positive,Neutral
"ohhh...is this the german ""car channel"".....interesting...cheers from.....germany.
btw...i don't drive a german car.",neutral,304,ohhh german car channel interest cheer germany way not drive german car,Positive,Negative
"$90K for a VW... bwahahahahahahahahahahahahahahahahaha!!! 

Uh, no.",neutral,305,90k vw bwahahahahahahahahahahahahahahahahaha uh no,Neutral,Neutral
"All of them suck. Bad cars, bad design.",negative,306,suck bad car bad design,Negative,Negative
Only german cars,neutral,307,german car,Neutral,Neutral
Scrotum leather ���������,neutral,308,scrotum leather,Neutral,Neutral
5:56 come on mercedes,neutral,309,5 56 come mercedes,Neutral,Neutral
They're all unreliable sh*te....,neutral,310,unreliable sh te,Negative,Negative
"All time you advertize
Bmw win

You must also mention
That mercedes will last 2 times longer than that Bmw
And will cost les money  during the lifetime to keep on parts and shit",positive,311,time advertize bmw win must also mention mercedes last 2 time longer bmw cost le money lifetime keep part shit,Neutral,Negative
All German...who won the bloody wars...we definitely didnt...we make eff all now.,neutral,312,german bloody war definitely not make eff,Negative,Negative
I like this guy. You feel that he loves his job.  It's funny,positive,313,like guy feel love job funny,Positive,Negative
The back seats in the Mercedes go back up because they felt resistance because you didn't put the headrests down.,neutral,314,back seat mercedes go back felt resistance not put headrest,Negative,Negative
"The 3 sead is for children, not for old people �",neutral,315,3 sead child not old people,Neutral,Negative
Matt picked a bmw. Surprised... Not,neutral,316,matt pick bmw surprise not,Neutral,Negative
Money is the Best,positive,317,money best,Positive,Positive
"7:01 what's also wrong in this car is the steering wheel , it's on the wrong side  :)))",neutral,318,7 01 also wrong car steer wheel wrong side,Negative,Negative
The Toureg use to be beautiful inside…NOW IT SUCKS!!  So bland and no more of that beautiful open pore wood � or polished walnut,negative,319,toureg use beautiful inside suck bland no more beautiful open pore wood polish walnut,Neutral,Positive
"Wtf 90k on the touareg, just get the Audi instead",negative,320,wtf 90k touareg get audi instead,Neutral,Positive
I love audi,positive,321,love audi,Positive,Positive
Yehh x5 is the best,positive,322,yehh x5 best,Positive,Positive
The Q7 having some 200 horsepower less than the Tuareg is the biggest crime here. Followed close by the Porsche having too few horsepower more than the aforementioned VW.,neutral,323,q7 200 horsepower less tuareg big crime follow close porsche horsepower more aforementioned vw,Negative,Negative
our bow x5 xdrive  has soft close,neutral,324,bow x5 xdrive soft close,Positive,Negative
Omg this aura from the mercedes,neutral,325,omg aura mercedes,Neutral,Negative
BMW allways be better�,positive,326,bmw allways well,Positive,Positive
I'm saying Porsche and Mercedes,neutral,327,say porsche mercedes,Neutral,Neutral
"Audi best overall, yet wins the Bronze medal?  You’d be an excellent Olympic judge……I only care because I have one and it’s really good.",positive,328,audi best overall yet win bronze medal would excellent olympic judge care one really good,Positive,Positive
AUDI AUDI AUDI ALL DAY BABYY,neutral,329,audi audi audi day babyy,Neutral,Neutral
Is genesis gv 80 or 90 not better than any of them?,neutral,330,genesis gv 80 90 not well,Negative,Negative
The Tuareg has Softklose!!!,neutral,331,tuareg softklose,Neutral,Neutral
"The prices are crazy. But i think its a stupid idea to buy such a car new for 100k. After 3 years its worth 50k-55k and you lose more than 45k. Go and buy it after 2, 3 or 4 years. A car is a item of Use. Its not a Rolex.",neutral,332,price crazy but think stupid idea buy car new 100k 3 year worth 50k 55k lose more 45k go buy 2 3 4 year car item use not rolex,Negative,Negative
Where`s the Volvo XC90?,neutral,333,volvo xc90,Neutral,Neutral
Lexus RX,neutral,334,lexus rx,Neutral,Neutral
I already wanted that,neutral,335,already want,Neutral,Positive
Who pays him the most get the win lol. And we all know BMW loves to pay because theyll get it back anyway when your car breaks down lol,positive,336,pay get win lol know bmw love pay get back anyway car break lol,Positive,Positive
The Q7 is the best SUV!,positive,337,q7 best suv,Positive,Positive
And de Tesla  X or Y  in compare why not?,neutral,338,de tesla x compare not,Neutral,Negative
Where is Range Rover Sport?,neutral,339,range rover sport,Neutral,Neutral
Where is the Volvo PHEV??,neutral,340,volvo phev,Neutral,Neutral
The jokes I love it!!!!!!,positive,341,joke love,Neutral,Positive
"Back doors quality... Thats what differs CarWoW to the rest.
Congratulations for the content as always!",positive,342,back door quality differs carwow rest congratulation content always,Positive,Positive
"Come on Matt, you need to consider using the rear view mirrors, loool, you are driving forward but your face is looking at the back",neutral,343,come matt need consider use rear view mirror loool drive forward but face look back,Neutral,Negative
K,neutral,344,k,Neutral,Neutral
Mercedes GLE 450d is my favourite and best looking in my opinion,positive,345,mercedes gle 450d favourite best look opinion,Positive,Neutral
"Hahaha, pathetic. BMW saved GB car industry, what theatric show presented here.",negative,346,hahaha pathetic bmw save gb car industry theatric show present,Negative,Negative
German cars on top,positive,347,german car top,Positive,Neutral
The looks of the BMW IS BEAST AGRESSIVE LOOKING OUT OF ALL THE CAR CONSDERING THE PRICE ITA THE BEST,positive,348,look bmw beast agressive look car consdering price ita best,Positive,Positive
"I love the way Q7 looks, my favorite SUV here, even if I'm a Mercedes fan!",positive,349,love way q7 look favorite suv even mercedes fan,Positive,Positive
"I bought a new Q7 a year ago and love it. Hated my test drive in the GLE. No comparison. 
I’m surprised there’s no Volvo XC90 here TBH. Surely a contender despite its 4 pot engine.",neutral,350,buy new q7 year ago love hat test drive gle no comparison surprise no volvo xc90 honest surely contender despite 4 pot engine,Positive,Positive
8:00 Classic Matt,neutral,351,8 00 classic matt,Positive,Positive
No roof rails on a 100k Cayene is criminal,negative,352,no roof rail 100k cayene criminal,Negative,Negative
Mercedes what a beauty but is it washed with sand??,neutral,353,mercedes beauty but wash sand,Positive,Positive
next time please genesis gv80,neutral,354,next time please genesis gv80,Neutral,Neutral
It’s not fair to compare Porsche and Audi to Vw as they’re all Vws �,neutral,355,not fair compare porsche audi vw vws,Negative,Negative
Toyota,neutral,356,toyota,Neutral,Neutral
Non of them will last 10 years. X5 and GLE will go out in 5 probably a bit more.,neutral,357,non last 10 year x5 gle go 5 probably bit more,Neutral,Negative
That's why I will buy X4 instead of GLC,neutral,358,buy x4 instead glc,Neutral,Neutral
No Volvo?,neutral,359,no volvo,Neutral,Neutral
"Funny how people who can't afford any of these complain about the price of the Touareg, an amazing car.",positive,360,funny people not afford complain price touareg amazing car,Negative,Negative
Having the mean looking BMW close up on me in the rear mirror would be the only time i would move out of the way instead of speeing up. Its psychologically intimidating. I love it!,positive,361,mean look bmw close rear mirror would time would move way instead speeing psychologically intimidate love,Neutral,Positive
These cars are getting too damn expensive,negative,362,car get damn expensive,Negative,Positive
"Ok con su veredicto, pero déjenme el PORSCHE❤",positive,363,ok con su veredicto pero déjenme el porsche,Neutral,Positive
Real name vw vs Mercedes vs bmw,neutral,364,real name vw v mercedes vs bmw,Neutral,Neutral
Unfortunately all of those SUVs have too many problems for the price. As family car I would not recommend . Better get a Japanese SUV.,positive,365,unfortunately suvs many problem price family car would not recommend good get japanese suv,Negative,Negative
Waiting for drag race,neutral,366,wait drag race,Negative,Positive
Do starter SUV like gla or x1,neutral,367,starter suv like gla x1,Positive,Neutral
we want to see megél more times 11:30 look at that beard,positive,368,want see megél more time 11 30 look beard,Neutral,Neutral
BMWWWWWWWW,neutral,369,bmwwwwwwww,Neutral,Neutral
Porsche wins,positive,370,porsche win,Positive,Positive
"MFers at VW want 90k for a tuareg??✋��..... It is supposed to be the ""PEOPLE'S CAR"" right?",neutral,371,mfers vw want 90k tuareg suppose people car right,Positive,Positive
"I owned a Q8 and did a similar evaluation in Q1.
The new Q8 is basically the same as the old. Same with the Q7.
The Touareg is OK but to expensive for what it is.
The Cayenne was also very expensive and not the best car to buy in my line of work. I also wanted a diesel.

The GLE and X5 remained.
After testing both, the X5 turned out to be the best luxury SUV on the market (for my budget at least).",positive,372,own q8 similar evaluation q1 new q8 basically old q7 touareg ok but expensive cayenne also very expensive not best car buy line work also want diesel gle x5 remain test x5 turn best luxury suv market budget least,Neutral,Positive
"Мерседес�
Бмв�
Порше�
Фольксваген ��
Ауди�",neutral,373,мерседес бмв порше фольксваген ауди,Neutral,Neutral
Bro its bmw vs mercedes vs porsche vs porsche cheap vs porsche mid,neutral,374,bro bmw v mercedes vs porsche v porsche cheap v porsche mid,Negative,Negative
5:58 this had me dying,neutral,375,5 58 dying,Negative,Negative
Isnt bmw the newest tho?,neutral,376,not bmw new though,Neutral,Negative
"The VW costing more than an Audi is the height of it, but this Touareg design is extremely Beautiful, VW could invest in better finishes than the competition, after all the values are extreme",positive,377,vw cost more audi height but touareg design extremely beautiful vw could invest good finish competition value extreme,Positive,Positive
"Where is the Range Rover Sport, or any Land Rover for that matter??",neutral,378,range rover sport land rover matter,Neutral,Negative
We got a 2024 Q7 55 tfsi gas Premium Plus and love it!,positive,379,get 2024 q7 55 tfsi gas premium plus love,Positive,Positive
"You’ll own nothing and be happy. 
These cars have become stupid expensive and the quality is not good. 
They are meant to be leased, not bought. 
No one, but the richest, will own a car",negative,380,nothing happy car become stupid expensive quality not good meant lease not buy no one but rich car,Negative,Positive
I prefer the Mercedes gle❤,neutral,381,prefer mercedes gle,Positive,Neutral
Not good video,negative,382,not good video,Negative,Positive
ive bought cheaper houses than this ugly bunch of over-sized monstrosities,negative,383,buy cheap house ugly bunch size monstrosity,Negative,Negative
Litterally 3 of the cars are owned by vw group���,neutral,384,litterally 3 car own vw group,Neutral,Neutral
"Hmm. Shoud test VW diesel. Price with full, full pack 77k Eur. All other tested with same options more than 100k + very expensive insurance and everyone is stealing parts from them. So winner is. VW not others. But I prefer KIA Sorento 2024 diesel it’s best price value performance �",positive,385,hmm shoud test vw diesel price full full pack 77k eur test option more 100k very expensive insurance everyone steal part winner vw not others but prefer kia sorento 2024 diesel best price value performance,Positive,Positive
5:53 ��,neutral,386,5 53,Neutral,Neutral
The Mercedes and Volkswagen is the best for me ❤,positive,387,mercedes volkswagen best,Positive,Positive
Should really have Volvos in these comparisons too,neutral,388,really volvos comparison,Neutral,Positive
why can none of them manage to fold down seats properly lol,neutral,389,none manage fold seat properly lol,Positive,Positive
BMW �,neutral,390,bmw,Neutral,Neutral
absolute euro junk...avoid like plaque!,neutral,391,absolute euro junk avoid like plaque,Neutral,Negative
BMW,neutral,392,bmw,Neutral,Neutral
Do tiguan vs audi q3 vs mercedes gla vs bmw x3 please,neutral,393,tiguan v audi q3 v mercedes gla vs bmw x3 please,Neutral,Neutral
Only AUDİ ⭕️⭕️⭕️⭕️ quattro ����,neutral,394,audi̇ quattro,Neutral,Neutral
"I would personally like to see Volvos, Toyotas, Lexuses, ...",neutral,395,would personally like see volvos toyota lexuses,Positive,Positive
The audi q7 is the best if it has petrol ingine with lots of power and more luxury interior,positive,396,audi q7 best petrol ingine lot power more luxury interior,Positive,Positive
Remove audi & vw ...they are lower level ...,neutral,397,remove audi vw low level,Neutral,Negative
Porsche,neutral,398,porsche,Neutral,Neutral
!!!,neutral,399,,Neutral,Neutral
VW Cayenne vs VW Q7 vs VW Touareg vs BMW X5 vs Mercedes GLE ��,neutral,400,vw cayenne v vw q7 v vw touareg v bmw x5 v mercedes gle,Neutral,Neutral
Running out of ideas Mat?,negative,401,run idea mat,Neutral,Positive
Porsche anyday,positive,402,porsche anyday,Neutral,Neutral
Touareg vs Touareg-luxury vs Touareg-sport vs gle vs x5,neutral,403,touareg v touareg luxury v touareg sport v gle v x5,Positive,Positive
"Can you please do a video on the SQ8, SQ7, SQ6 e-tron, SQ5 and RSQ3?",neutral,404,please video sq8 sq7 sq6 e tron sq5 rsq3,Neutral,Positive
Conclusion: Evs and hybrids are pos. Get the good ol diesel,positive,405,conclusion ev hybrid pos get good old diesel,Positive,Positive
Way lexus not hier,neutral,406,way lexus not hier,Neutral,Negative
So the Porsche has borrowed Prius gear selector �,neutral,407,porsche borrow prius gear selector,Neutral,Positive
I think the older generation of these cars have much better Interiors especially the Porsche,positive,408,think old generation car much well interior especially porsche,Positive,Positive
Gle looks amazing wow. Hoping the new face lift doesnt ruin it,positive,409,gle look amazing wow hop new face lift not ruin,Positive,Negative
"slamming doors, how 1990s.. these cars.. should all have soft close.",neutral,410,slam door 1990s car soft close,Positive,Negative
"........................... ALL are Euro Headaches!!!....... & will DEPRECIATE.....YEP you will LOOSE 50 to 60K of REAL money in 2 to three years..on these dogs!..Wake up!
Get a LEXUS and Sleep restfully not worrying if you will make it to that Hospital Emergency!......    Remember the #1 Luxury is  ""   DEPENDABILITY  ""!!!!",negative,411,euro headache depreciate yep loose 50 60k real money 2 three year dog wake get lexus sleep restfully not worry make hospital emergency remember 1 luxury dependability,Negative,Positive
"Thought I was the only one who liked the sound of closing new car doors, i dont own any new car by the way�",positive,412,think one like sound close new car door not new car way,Positive,Positive
Porsche is the only vehicle with a decent amount of horsepower.,neutral,413,porsche vehicle decent amount horsepower,Positive,Positive
Merc is ugly exterior,negative,414,merc ugly exterior,Negative,Positive
Volvo!,neutral,415,volvo,Neutral,Neutral
Where’s the range,neutral,416,range,Neutral,Neutral
"Hey, I would love to see you reviewing Indian Cars, specifically VW Virtus. @carwow",positive,417,hey would love see review indian car specifically vw virtu carwow,Positive,Positive
How about Lexus?,neutral,418,lexus,Neutral,Neutral
Why tf is a VW here? LMAO,negative,419,tf vw lmao,Neutral,Neutral
Porsche audi vw ？ no    vw vw vw yes�,neutral,420,porsche audi vw no vw vw vw yes,Neutral,Positive
Who's got 80/90k to flush down the toilet on a box with four wheels??????? Does nobody understand that in five years time it will be a sub 25k mistake and that's only if its got less than 50k miles on the clock!!! Sorry screen if it still works.,negative,421,get 80 90k flush toilet box four wheel nobody understand five year time sub 25k mistake get less 50k mile clock sorry screen still work,Negative,Negative
I'll take a Li Auto L9 :),positive,422,take li auto l9,Neutral,Neutral
https://youtu.be/85B_u0-0Qpc?si=w0fSexKLPDz_8GLy,neutral,423,,Neutral,Neutral
"Did you seriously just say the Mercedes looked the best and with all the chrome trim??? Or were you shopping for your Mum, Matt? Gr. Mum??",positive,424,seriously say mercedes look best chrome trim shopping mum matt gr mum,Positive,Positive
They really live up to their name of being the ultimate driving machine,positive,425,really live name ultimate driving machine,Neutral,Positive
We need carwow in the US please!!,neutral,426,need carwow u please,Neutral,Neutral
"Toureg  USA!!! I bought a Phaeton when they first came out, do you think they would send one to me ?",positive,427,toureg usa buy phaeton first come think would send one,Neutral,Neutral
"You should have taken SQ7, not the slowest Q7 of all.",neutral,428,take sq7 not slow q7,Positive,Negative
should have included a volvo ex90,neutral,429,include volvo ex90,Neutral,Neutral
Where is the Lexus RX 500h?,neutral,430,lexus rx 500h,Neutral,Neutral
X5 is truly a great piece of engineering.,positive,431,x5 truly great piece engineering,Positive,Positive
Matt has been a BMW fan long time ago I'm not suprised he chose X5 while Audi Q7 was the best,negative,432,matt bmw fan long time ago not suprised chose x5 audi q7 best,Positive,Negative
Hayatım boyunca Süremeyeceğim ve alamayacağım araçları izlemek eziyet gibi geliyor,neutral,433,hayatım boyunca süremeyeceği alamayacağım araçları izlemek eziyet gibi geliyor,Neutral,Neutral
I don’t know why the VW and Audi are here. They aren’t luxury brands.,negative,434,not know vw audi not luxury brand,Negative,Negative
